#{"t_start": 1721926644.1374323, "env_id": "None"}
r,d_r,l,t
-3671.162092,2865.760874,8000,76.322152
-5194.263996,2934.196446,8000,228.475619
-2219.75793,-1212.384705,8000,381.345826
-4626.75641,-5656.457901,8000,534.076531
2959.537458,2858.771179,8000,676.112011
2875.409611,2895.078752,8000,830.548245
-5882.227601,2936.900814,8000,984.068584
-6029.703444,-10317.862559,8000,1122.992238
-4732.473655,2835.008531,8000,1262.764019
2998.467642,2952.421951,8000,1416.065924
2844.144995,2956.91388,8000,1557.726714
2938.997578,2939.662735,8000,1699.700403
2847.234428,2940.835973,8000,1854.422549
3028.524669,2978.657471,8000,2007.689789
2906.274335,-5350.679148,8000,2161.117107
2981.132853,2901.882786,8000,2315.424886
2921.66486,2927.590118,8000,2470.279623
2993.768746,-6061.475514,8000,2624.815658
-4603.924456,3005.776347,8000,2779.553529
2143.084135,2875.317389,8000,2934.243811
-5578.406719,2707.441131,8000,3079.380059
-110.780787,-7312.407275,8000,3222.421334
-5484.870704,-5361.176473,8000,3375.404226
-976.005482,1466.484431,4629,3497.144144
-489.827081,-14404.149743,8000,3641.948274
2507.716613,-5551.803808,8000,3776.490631
197.38597,241.768561,740,3783.677279
-418.071703,565.996482,1563,3798.81502
-5254.087379,-12456.24122,8000,3952.394829
2827.430491,2844.31511,8000,4092.593786
-294.757361,566.755766,3747,4194.161322
-1435.803971,2755.837606,8000,4348.130094
-6430.765568,-5902.409066,8000,4501.08241
2608.521666,2360.439316,8000,4641.872968
-1274.457832,-13392.104824,8000,4793.636546
175.509334,182.373773,545,4798.857555
2749.513658,2806.268232,8000,4938.177775
-6231.466152,-5935.773258,8000,5090.209491
-5726.02755,2765.950125,8000,5241.931387
2488.516416,-1144.77485,8000,5395.142396
2801.393018,-4857.780138,8000,5542.884886
2748.129776,2869.584349,8000,5695.934571
-5977.053246,-5351.486703,8000,5848.891987
-5025.828359,-3066.987824,8000,6001.518464
2805.452258,2857.372388,8000,6154.450794
-6002.582944,2798.327831,8000,6307.284192
2760.186374,2931.146444,8000,6459.407501
2771.906701,-12555.098816,8000,6611.972904
2763.939861,-12898.923395,8000,6764.376197
-434.823463,-145.971868,8000,6904.872076
-4100.190926,2710.112419,8000,7057.579916
-5149.182403,-5870.092284,8000,7189.299168
2779.439303,-5975.004171,8000,7342.822708
2691.648498,2744.102116,8000,7481.944839
-5334.101123,2560.435877,8000,7635.321146
-4690.789311,2696.70253,8000,7788.315416
2795.429345,2884.483535,8000,7942.1204
2864.244525,-4870.547909,8000,8080.567014
-271.871463,-322.791892,2286,8102.541504
-5357.288895,-5973.490269,8000,8255.958683
2767.568247,2822.061612,8000,8409.430854
2954.014874,-5959.644347,8000,8563.043596
-4958.32729,-4848.410816,8000,8703.038714
2785.830014,2853.514843,8000,8857.475472
2823.358335,2826.903204,8000,8999.169528
-1438.998841,673.22014,1961,9017.953837
-3008.091648,-3649.906928,4962,9142.802431
-6132.808042,-5381.757921,8000,9296.776534
2771.035911,2773.934414,8000,9449.86647
-5330.095421,2763.271231,8000,9602.662257
2741.416846,-5335.541906,8000,9743.576714
2892.961965,2773.330015,8000,9897.600927
2647.312638,2608.422099,8000,10051.548171
-5278.414467,2845.918915,8000,10205.418664
2731.066254,2748.859351,8000,10346.038445
-5572.648434,2717.579138,8000,10497.921989
-5995.604515,2702.668256,8000,10652.149944
-5291.265716,-5587.669156,8000,10780.304382
2771.940841,2749.98141,8000,10934.082938
2823.838095,2708.120418,8000,11087.366692
1178.509285,-4658.486241,8000,11240.626185
2739.890148,2867.277113,8000,11392.916105
-6362.365165,-5481.297283,8000,11546.81517
-5779.998809,2679.893198,8000,11686.471448
2867.683155,2881.927423,8000,11839.892478
-2528.690531,-11995.688852,8000,11992.892928
2694.519079,2784.218404,8000,12134.814017
234.07186,342.351456,1170,12145.940758
-156.253402,2700.125406,8000,12298.701048
-6274.957721,2811.625079,8000,12452.373836
2906.872155,2828.377001,8000,12593.369503
1686.838875,2877.553259,8000,12744.599817
1025.217439,986.974028,8000,12883.093956
2814.351731,2419.990083,8000,13035.691799
-4085.11907,2780.042324,8000,13189.702885
-5947.666802,-5154.784997,8000,13341.894117
2668.925357,2864.691099,8000,13494.980279
826.114807,-5016.465782,8000,13648.877162
2862.644495,2739.814378,8000,13802.404613
328.737815,400.774451,977,13811.881562
2810.73384,2766.576403,8000,13952.158496
2764.948907,-5903.326229,8000,14104.79835
-884.898822,-1319.781924,3023,14209.888935
-5221.830578,2811.473142,8000,14362.355776
-3397.993203,2721.422302,8000,14513.783998
-6228.467028,-407.919073,8000,14665.886821
2667.828831,2810.377825,8000,14818.989494
-5818.429485,-11417.850372,8000,14970.914636
2782.266095,-5725.489745,8000,15122.852461
-5844.714764,2904.528133,8000,15270.282837
-6000.627133,-6115.740855,8000,15423.841568
2774.258971,-5824.76352,8000,15576.792262
2768.969866,2879.25824,8000,15729.693132
-256.152528,561.56251,1754,15746.321357
-5942.3193,-6349.763352,8000,15899.839262
2768.754539,2774.472812,8000,16052.437382
2886.201839,2751.842066,8000,16199.917388
2886.387632,-6111.188221,8000,16352.069884
-6215.831262,2764.65367,8000,16494.203951
42.338424,58.525362,164,16495.780591
110.849067,250.152881,750,16502.981252
-1098.567336,-4097.910067,5378,16631.842414
-5727.966112,-6511.39962,8000,16785.008613
-5573.985154,-4888.600205,8000,16930.680705
-4846.697042,2762.585569,8000,17085.052775
20.460039,390.991995,1202,17096.46946
2782.252925,-4286.514257,8000,17250.212818
-1167.662128,-709.796436,1743,17266.837822
2868.768724,2848.447782,8000,17411.901497
-3969.075667,-8142.038222,8000,17556.224411
22.016531,301.775573,1165,17567.204683
-5803.706378,-4308.900358,8000,17720.038003
149.812817,283.270672,715,17726.880547
-5460.176695,2790.118214,8000,17880.159693
2809.404654,2770.789282,8000,18033.582201
2862.521418,-5423.538639,8000,18179.803037
-6003.65073,2756.03007,8000,18333.568844
2751.789231,2944.635354,8000,18486.811662
1992.7782,2764.933802,8000,18639.835514
2823.682477,-4944.075721,8000,18781.44087
2740.504689,-12536.77263,8000,18935.331311
-4557.124631,-6044.956017,8000,19073.299872
2798.95891,-5959.984824,8000,19227.024863
2841.148679,2662.106457,8000,19368.462586
-5123.467228,-297.200596,8000,19521.250458
2677.214136,2826.226194,8000,19668.013489
2864.255688,-5184.605507,8000,19803.233904
2798.342581,-4985.45911,8000,19945.069904
2815.262512,-5301.913724,8000,20098.972564
2522.901917,-4740.375529,8000,20239.688612
-5718.138667,2823.674972,8000,20393.131709
2726.090428,2630.555219,8000,20534.939354
2768.306777,-3457.452218,8000,20689.174162
-5729.157394,2640.347127,8000,20843.698373
2802.457023,-5176.192579,8000,20997.638335
-5091.961726,-4317.73864,8000,21124.022941
2871.730493,-3272.824935,8000,21255.767452
-1989.802127,-388.532808,4627,21376.989756
2784.512245,1769.951323,8000,21530.09851
-5991.724827,2443.822132,8000,21679.309831
2781.157147,2813.82786,8000,21831.682043
2830.29788,2934.644809,8000,21984.117906
2802.181727,-6408.080508,8000,22137.128757
2791.553896,2812.364133,8000,22276.688978
2837.929304,2782.55279,8000,22416.718392
-445.671229,-6388.618404,8000,22569.068924
2775.915399,-5853.71946,8000,22720.813689
2769.259254,-5646.918151,8000,22873.323972
-6233.681737,-5709.026177,8000,23025.082659
-5239.154869,2792.492955,8000,23178.498693
-5319.896735,2600.08149,8000,23310.7698
2710.328008,-4669.750097,8000,23463.670017
-5727.695197,2901.255526,8000,23616.86309
2777.8874,2854.70369,8000,23770.286261
-924.632507,424.73252,1231,23781.964398
2746.802698,-5611.600156,8000,23922.317302
2630.301153,2849.39695,8000,24076.637033
-6035.03236,2827.583529,8000,24230.152853
-1045.547276,-1334.719794,8000,24385.186087
2651.391407,2352.875979,8000,24525.920318
1265.845964,1497.455039,4069,24634.904875
2829.091582,-5763.491871,8000,24789.437106
2891.958422,2852.592005,8000,24942.721031
2881.64172,2742.844054,8000,25084.862207
-786.051238,-5225.605931,8000,25219.092076
2818.919675,-10629.644442,8000,25373.36108
2859.340555,-3646.256445,8000,25513.216264
2640.952557,2785.190709,8000,25666.735361
-3298.034444,2732.033124,8000,25811.25999
-3605.916317,-9073.551286,8000,25956.387371
2863.356747,-4358.768233,8000,26109.53105
2952.946692,2793.03147,8000,26249.120372
-2541.650675,2742.183194,8000,26401.663159
2878.433465,-6093.705299,8000,26543.908336
2801.957903,-6103.460028,8000,26694.956429
2745.064194,2637.917974,8000,26848.165793
2852.499549,-4557.956118,8000,26989.74344
-5693.796683,-6323.428853,8000,27143.249311
-4660.610417,2775.659931,8000,27296.452129
-318.49523,131.851774,962,27305.512073
1468.975132,1581.839273,4822,27351.377334
2755.889845,2621.804999,8000,27505.095986
2567.399093,2303.984914,8000,27656.974642
-3753.787967,2833.781938,8000,27811.161344
-5915.302024,-10865.159199,8000,27956.203117
2746.511098,2688.317609,8000,28099.418263
2780.924488,2761.094328,8000,28252.670187
2775.526402,2745.272305,8000,28406.010229
2776.997119,-15228.358465,8000,28558.462955
2670.201597,1149.238582,8000,28712.398152
-5963.901148,2790.442748,8000,28865.165992
-5284.475474,2835.662819,8000,29017.20697
2739.513044,-4715.806293,8000,29169.727044
-3159.02391,2751.336709,8000,29298.731433
1047.364377,-1728.110993,8000,29452.013164
-2890.088669,2806.291004,8000,29581.904621
-406.261767,1973.578456,8000,29736.71343
-5915.191087,2828.236969,8000,29891.315537
2839.444488,-4135.697788,8000,30044.460388
-5293.066897,2795.076806,8000,30198.83815
-6259.52726,2828.145006,8000,30352.980865
397.877533,592.779624,1483,30367.140714
2772.770343,-5632.821168,8000,30504.380321
2641.431202,353.549705,8000,30644.647317
2851.805257,2844.027944,8000,30786.212681
-6091.252566,-5770.520281,8000,30939.436954
-4740.543081,-293.101415,8000,31092.889978
-5057.709762,-5989.138213,8000,31245.92252
2825.776412,2782.68797,8000,31399.281149
-5748.717539,-5156.985688,8000,31547.027848
-184.41846,448.385442,1196,31636.516541
2623.592706,2871.061301,8000,31789.764792
2795.073764,2807.052579,8000,31904.459811
2701.119533,2763.840226,8000,32042.851498
2814.68069,2935.612709,8000,32195.820271
-4542.124085,-4580.641055,8000,32347.513123
2681.896905,2747.433967,8000,32482.097377
137.101101,550.235811,1780,32499.057244
-4807.286694,2744.917301,8000,32652.165505
2407.070015,2479.679841,8000,32805.270147
-3007.599836,2704.195401,8000,32958.134949
2782.806451,-3586.786129,8000,33112.068952
-5226.914131,-5800.748102,8000,33264.769252
108.055386,250.402974,653,33271.055987
2457.020158,2562.861145,8000,33424.876038
1050.258186,-2196.115494,8000,33568.133118
-4773.239848,-14504.20856,8000,33721.704219
2808.596381,-1777.340718,8000,33875.252203
2795.282811,2641.956205,8000,34028.423096
2809.924746,2811.752905,8000,34173.50088
-5486.708907,-5200.174211,8000,34313.885121
-3902.476844,-6184.260319,8000,34467.225974
-4036.337382,-5194.45485,8000,34621.739035
2647.125242,-4920.224093,8000,34775.022613
2661.44534,2809.748205,8000,34928.224293
2626.467677,-6086.354355,8000,35080.846774
2788.012276,2748.81043,8000,35228.686318
-3100.498467,2951.091244,8000,35381.915581
-3970.542047,-2629.621835,5278,35509.451207
-5132.13248,-5580.091945,8000,35662.909003
-3557.392741,2779.679797,8000,35816.907124
-5452.522848,2852.10547,8000,35971.458498
-5900.60573,-12744.272145,8000,36098.485146
2777.27614,-5075.293123,8000,36251.756847
2889.210095,-5137.485116,8000,36392.304939
-2357.164129,-2309.272077,8000,36547.172975
-4752.307668,-2169.789741,8000,36686.971293
-6253.045957,2833.753186,8000,36831.903062
2790.017928,2790.520314,8000,36985.377738
2763.335351,-4334.116597,8000,37131.688429
-5795.522485,-5684.402521,8000,37285.929734
2786.305688,2823.785633,8000,37440.392249
-761.284469,2492.189024,8000,37595.214342
-495.965256,-3007.933407,5469,37647.210597
2777.284243,2843.077503,8000,37801.554554
2730.923944,2763.878254,8000,37956.613857
-5691.986423,2531.571951,8000,38108.757766
-5938.068272,2636.765587,8000,38262.772227
-690.344537,760.720549,2099,38335.148046
-1622.121681,1511.751958,5653,38388.636055
2640.851632,-5124.645945,8000,38541.874739
-5353.456167,-13665.045354,8000,38685.203187
