#{"t_start": 1721923930.4704566, "env_id": "None"}
r,d_r,l,t
5472.928334,0.0,8000,66.71897
5543.427224,0.0,8000,216.478711
5589.944681,0.0,8000,372.625444
-10305.382443,0.0,8000,532.190261
-10650.637555,0.0,8000,689.493346
-3688.681093,0.0,8000,844.67594
-10698.509179,0.0,8000,1001.59486
-8201.635827,0.0,8000,1161.66324
-2881.84355,0.0,8000,1316.837675
-11886.290746,0.0,8000,1468.943112
-10636.440398,0.0,8000,1622.615797
-2555.345802,0.0,8000,1784.183972
-12128.016726,0.0,8000,1940.402218
-2401.211829,0.0,8000,2097.86994
5538.011217,0.0,8000,2258.290173
-3478.844314,0.0,8000,2416.716873
-4132.966385,0.0,8000,2571.374252
5559.039232,0.0,8000,2724.988911
-11238.785345,0.0,8000,2876.872664
-2649.965091,0.0,8000,3030.373575
-2189.48827,0.0,8000,3183.600156
-12508.295327,0.0,8000,3336.48102
-3099.244846,0.0,8000,3494.728841
1394.627355,0.0,8000,3649.488827
5441.588713,0.0,8000,3792.144411
-9357.697328,0.0,8000,3947.179242
-2433.472034,0.0,8000,4086.890431
-2464.066883,0.0,8000,4224.685436
5557.6394,0.0,8000,4380.144303
-493.780231,0.0,8000,4524.761621
-2968.882016,0.0,8000,4680.505765
2256.006759,0.0,8000,4830.998283
-16923.217989,0.0,8000,4986.584728
-3111.120093,0.0,8000,5144.233197
-3382.315162,0.0,8000,5300.265124
-20091.252928,0.0,8000,5452.99624
-3311.705743,0.0,8000,5597.435767
-8483.430543,0.0,8000,5756.839792
-11014.531054,0.0,8000,5914.636193
5364.799279,0.0,8000,6071.166034
5606.517877,0.0,8000,6228.167705
-1853.874022,0.0,8000,6385.914874
-2706.193203,0.0,8000,6539.447617
-2127.483351,0.0,8000,6697.469929
-11075.042506,0.0,8000,6853.25893
5541.711192,0.0,8000,6997.54088
5478.128693,0.0,8000,7150.983993
5281.021848,0.0,8000,7307.332091
-10561.833963,0.0,8000,7461.445606
-2231.841237,0.0,8000,7619.325718
-9987.378718,0.0,8000,7771.438776
-5368.324813,0.0,8000,7924.037347
-10819.703038,0.0,8000,8076.511202
-3039.88099,0.0,8000,8228.423847
-2906.388154,0.0,8000,8382.334381
-9361.067915,0.0,8000,8540.363973
-2098.047217,0.0,8000,8698.360562
5473.656188,0.0,8000,8849.719445
-9440.245311,0.0,8000,9003.385416
-1930.282678,0.0,8000,9156.642249
-10575.312179,0.0,8000,9307.089572
-2064.421149,0.0,8000,9458.693813
-3282.405389,0.0,8000,9609.906065
-3435.72624,0.0,8000,9758.838961
-11507.327969,0.0,8000,9912.555039
-3043.375006,0.0,8000,10066.129067
-3173.250694,0.0,8000,10210.75919
-13615.998836,0.0,8000,10362.843658
-2706.606296,0.0,8000,10506.840579
-3035.858084,0.0,8000,10659.006213
-3643.450141,0.0,8000,10811.005948
5600.342952,0.0,8000,10964.844428
5355.065327,0.0,8000,11118.775635
-1900.604697,0.0,8000,11255.616519
-7222.968864,0.0,8000,11407.68278
-2240.178754,0.0,8000,11560.143632
5410.990147,0.0,8000,11714.162867
-15029.066785,0.0,8000,11867.087569
-7985.750307,0.0,8000,12019.997307
-10661.6475,0.0,8000,12171.534086
5514.001779,0.0,8000,12324.539923
5534.482056,0.0,8000,12477.849406
-9230.874525,0.0,8000,12630.983405
-1071.133943,0.0,8000,12784.563936
-11209.811288,0.0,8000,12936.730398
-20666.624924,0.0,8000,13085.131453
-1716.356703,0.0,8000,13236.536152
5425.975728,0.0,8000,13387.468231
-12020.123481,0.0,8000,13539.349972
-1561.127699,0.0,8000,13690.232809
5519.981945,0.0,8000,13840.383837
1774.123911,0.0,8000,13993.121489
-3583.890934,0.0,8000,14145.666415
-3169.673021,0.0,8000,14298.873754
-12063.360445,0.0,8000,14449.356945
-3340.976041,0.0,8000,14599.009047
5571.02016,0.0,8000,14752.325788
-887.548535,0.0,8000,14905.088706
-3259.042579,0.0,8000,15058.647455
-2692.420059,0.0,8000,15212.675377
-2383.466349,0.0,8000,15368.367712
-2326.472915,0.0,8000,15523.098708
-2923.014234,0.0,8000,15675.769762
5512.695337,0.0,8000,15829.829421
-11465.376555,0.0,8000,15983.191135
5576.131758,0.0,8000,16136.94522
-5525.961147,0.0,8000,16273.484242
-3421.381111,0.0,8000,16431.530126
-9463.133413,0.0,8000,16587.08763
-12048.165099,0.0,8000,16740.66053
-8840.99303,0.0,8000,16895.380942
5603.765749,0.0,8000,17049.161362
-2715.569928,0.0,8000,17203.271473
5558.353524,0.0,8000,17355.42961
5586.254075,0.0,8000,17508.989735
-12501.142052,0.0,8000,17661.29873
-15058.341979,0.0,8000,17813.651704
5535.508265,0.0,8000,17963.848664
-2513.296852,0.0,8000,18115.873984
-1996.902543,0.0,8000,18268.513638
-6831.224299,0.0,8000,18420.701237
5541.64021,0.0,8000,18574.563783
4984.537524,0.0,8000,18729.082172
-3228.089734,0.0,8000,18881.651952
-318.055628,0.0,8000,19021.127333
-2475.025286,0.0,8000,19173.62893
-2046.437296,0.0,8000,19324.996307
5462.504443,0.0,8000,19472.845416
-2551.949598,0.0,8000,19624.184381
-9529.409915,0.0,8000,19776.089057
-3494.68967,0.0,8000,19927.534601
5134.058769,0.0,8000,20079.997122
-3495.152106,0.0,8000,20233.211423
-7528.973271,0.0,8000,20386.945366
5438.71904,0.0,8000,20541.972538
5484.463017,0.0,8000,20696.37327
-3158.760521,0.0,8000,20855.119731
-18793.584866,0.0,8000,21009.313567
-10829.359927,0.0,8000,21152.012706
5469.913631,0.0,8000,21308.607651
5491.037894,0.0,8000,21464.726253
-4037.002597,0.0,8000,21620.422195
5405.115386,0.0,8000,21775.710769
-2413.342718,0.0,8000,21930.78181
-4732.767063,0.0,8000,22085.717946
2596.846215,0.0,8000,22225.888369
-12177.061197,0.0,8000,22380.134579
3949.529172,0.0,8000,22534.730644
5586.924178,0.0,8000,22687.680803
5351.202916,0.0,8000,22837.139483
-2942.606859,0.0,8000,22988.767985
-3551.171663,0.0,8000,23139.450582
-10113.371736,0.0,8000,23289.895395
-8648.90429,0.0,8000,23440.636468
-12198.857841,0.0,8000,23592.812863
-3375.695884,0.0,8000,23743.755389
-9559.102597,0.0,8000,23894.583117
5277.555728,0.0,8000,24045.668167
538.730051,0.0,8000,24197.724733
-2044.050943,0.0,8000,24346.271436
5489.244426,0.0,8000,24499.565128
-9407.079826,0.0,8000,24655.360934
-2105.96386,0.0,8000,24810.518334
-11336.523982,0.0,8000,24954.428045
-7590.353441,0.0,8000,25106.982919
5438.700475,0.0,8000,25260.614187
-12376.248983,0.0,8000,25413.821016
5353.049928,0.0,8000,25564.894766
-20289.920694,0.0,8000,25716.908171
4037.665579,0.0,8000,25871.081729
-8428.853057,0.0,8000,26022.111567
5431.914381,0.0,8000,26175.790241
-3831.753641,0.0,8000,26329.711726
-12426.303415,0.0,8000,26484.940396
5533.023237,0.0,8000,26640.607501
2109.034695,0.0,8000,26798.089084
-2990.983205,0.0,8000,26952.998635
-452.765983,0.0,8000,27108.392727
-3248.406366,0.0,8000,27263.746656
-3377.09445,0.0,8000,27419.504576
-12432.515341,0.0,8000,27574.514193
-11012.764822,0.0,8000,27726.342871
-9317.626013,0.0,8000,27881.315977
-3667.301968,0.0,8000,28037.292659
-9592.625954,0.0,8000,28188.578726
-991.2929,0.0,8000,28339.936195
5354.066297,0.0,8000,28492.786051
-1885.545013,0.0,8000,28644.11457
-2567.985881,0.0,8000,28791.193614
4366.925004,0.0,8000,28941.409971
-8935.741603,0.0,8000,29090.832664
-1591.840341,0.0,8000,29240.169945
-3233.3505,0.0,8000,29390.997154
-10862.761659,0.0,8000,29542.581519
5164.750585,0.0,8000,29694.547703
5444.070536,0.0,8000,29846.272916
-11009.791646,0.0,8000,29998.434314
-2823.53958,0.0,8000,30152.691569
-4783.80354,0.0,8000,30306.269817
589.438796,0.0,8000,30459.518009
5367.745384,0.0,8000,30611.185333
-2972.146108,0.0,8000,30765.831305
-2105.514158,0.0,8000,30918.194801
5381.11077,0.0,8000,31070.938887
-2196.218413,0.0,8000,31226.047579
-7320.60879,0.0,8000,31381.340717
-11136.519084,0.0,8000,31535.328474
-2874.021488,0.0,8000,31676.383625
-2627.433186,0.0,8000,31830.752117
-10318.575601,0.0,8000,31990.824932
-11820.883034,0.0,8000,32143.083747
-2902.085425,0.0,8000,32297.790598
5392.849917,0.0,8000,32454.908479
-5211.05398,0.0,8000,32597.731648
-18311.964326,0.0,8000,32700.224411
-6374.33155,0.0,8000,32813.170547
-18137.828257,0.0,8000,32916.597765
-16671.372504,0.0,8000,33010.517454
-3182.097988,0.0,8000,33111.346704
-1299.360153,0.0,8000,33256.555634
-19460.063178,0.0,8000,33407.729048
5117.456101,0.0,8000,33544.716498
5283.907663,0.0,8000,33690.220171
-11873.827698,0.0,8000,33844.135412
-18693.044192,0.0,8000,33999.554113
-10337.880168,0.0,8000,34156.133731
5288.515303,0.0,8000,34310.694868
93.910138,0.0,8000,34464.302597
-10934.017068,0.0,8000,34615.044949
-11391.216281,0.0,8000,34767.493695
-3488.943214,0.0,8000,34920.948067
-10765.431907,0.0,8000,35072.929506
-9152.995638,0.0,8000,35226.61238
-1373.787112,0.0,8000,35379.887302
-2161.508085,0.0,8000,35527.980394
5461.906915,0.0,8000,35678.124992
-503.042092,0.0,8000,35828.806376
-2886.619514,0.0,8000,35978.769186
-2152.673642,0.0,8000,36123.71078
-3866.944149,0.0,8000,36275.682489
5512.272037,0.0,8000,36426.067914
-1875.174419,0.0,8000,36576.348353
5078.569616,0.0,8000,36728.516188
-12535.955343,0.0,8000,36880.424646
-2473.752419,0.0,8000,37033.162586
5404.150512,0.0,8000,37180.948513
-1822.616161,0.0,8000,37332.367787
5620.993725,0.0,8000,37483.800875
-3069.28133,0.0,8000,37635.162694
2253.701754,0.0,8000,37788.787526
-14251.024498,0.0,8000,37940.068306
-14444.213656,0.0,8000,38091.715178
-3030.288938,0.0,8000,38245.960176
-10591.007083,0.0,8000,38398.644195
1652.793789,0.0,8000,38541.605172
-10117.643641,0.0,8000,38690.132333
-5610.099761,0.0,8000,38843.428486
-4079.375188,0.0,8000,38994.686254
-18755.506839,0.0,8000,39146.462052
-2008.494428,0.0,8000,39296.782498
-11746.148773,0.0,8000,39448.997816
5473.569664,0.0,8000,39603.610284
-3474.562336,0.0,2437,39711.056275
-1680.777555,0.0,8000,39866.690835
