#{"t_start": 1721926562.0194411, "env_id": "None"}
r,d_r,l,t
1347.118437,1522.231261,4210,34.708333
-4970.560938,-6281.55176,8000,186.795984
-5495.723579,-5137.539982,8000,340.524423
-5345.192462,2756.395281,8000,494.633947
2810.007038,-4922.634083,8000,649.656479
2872.73561,-10317.605701,8000,809.149299
2833.513805,-5225.375975,8000,966.437622
2793.214971,-5753.092161,8000,1123.289437
-5578.735866,-5857.312043,8000,1280.97038
2855.706738,-2253.541607,8000,1423.095828
2822.274453,-5357.511178,8000,1580.402447
-5085.309422,-5493.41607,8000,1732.33782
2480.043987,2864.826733,8000,1872.925687
2770.567803,-1597.967224,8000,2017.409055
2743.460178,-4123.486278,8000,2174.446961
-951.603025,1181.056792,3671,2205.971504
-5370.435855,-6593.701343,8000,2365.120199
2848.740731,-5890.279669,8000,2525.74863
2317.532553,2785.718237,8000,2669.15768
-5222.686863,2869.680285,8000,2825.947467
-5808.11803,2793.397122,8000,2983.033663
2717.344784,2879.859743,8000,3133.977636
2740.930643,2743.278377,8000,3294.95665
2804.727854,2750.079484,8000,3454.305681
-2081.611127,-839.040033,8000,3613.044974
2806.233519,-5517.628606,8000,3772.456851
-1927.275921,2869.161446,8000,3915.310058
2737.279678,1772.074321,8000,4076.677077
-705.997577,1439.946631,3836,4191.177557
-214.069986,326.30092,808,4196.898643
469.036365,665.304041,1778,4211.748597
-4483.719346,-6292.470662,8000,4366.981017
-104.835508,177.288403,346,4369.340729
-4562.109798,-5495.059837,8000,4512.115543
2768.653212,2771.469095,8000,4669.91139
2878.184971,-5424.000457,8000,4828.335202
2707.605907,2779.46023,8000,4988.098342
2633.428528,-1056.801557,8000,5128.252861
-5026.543966,-4079.14103,8000,5267.612239
2837.933162,2762.570688,8000,5419.454103
2891.159568,2789.622704,8000,5576.357117
-5490.700627,-6127.348364,8000,5731.630503
-5544.181631,2922.492744,8000,5891.146897
2854.091947,-5089.768452,8000,6050.598173
-5277.245291,2819.697507,8000,6195.160447
-5331.673851,2789.140781,8000,6350.977793
2874.497943,-6016.652147,8000,6493.343589
2789.652149,2886.236178,8000,6635.679432
-5387.745016,-6267.913296,8000,6773.830557
2851.342006,2898.398597,8000,6928.412811
2745.064617,2718.532746,8000,7079.619015
-1659.200344,2714.165174,8000,7234.802857
-5172.542168,2694.530156,8000,7389.136148
-5079.28152,2761.438131,8000,7546.316345
-4943.110605,2729.062703,8000,7687.523146
2741.134558,2807.461585,8000,7832.985244
-267.777664,240.953976,529,7836.657661
2856.97468,-6344.549828,8000,7989.586174
-5216.169911,2803.920607,8000,8143.853376
2692.658368,2825.962904,8000,8300.741775
-6230.824702,-6373.787585,8000,8449.925108
-4527.259437,2740.770909,8000,8590.267104
-4239.165587,-5824.578384,8000,8747.107934
2816.936585,-7813.874523,8000,8887.200815
-2915.322615,-4908.27655,8000,9039.407219
2675.040617,2551.701088,8000,9172.935771
-5234.51636,-13009.580168,8000,9326.077873
-5792.428932,-10284.980312,8000,9478.492769
-6371.066064,2855.14764,8000,9632.149348
2748.009303,2876.640995,8000,9785.822909
2877.668075,2776.228085,8000,9940.396188
2692.930269,2810.264203,8000,10088.010258
-787.848953,-658.614855,1641,10180.234708
2861.666725,2727.161169,8000,10332.90981
-4112.144824,2883.815283,8000,10468.790042
2800.038253,2781.967017,8000,10621.509099
2901.786538,-4668.625326,8000,10774.75916
2868.603951,2785.883932,8000,10913.592121
2789.165486,2706.626889,8000,11067.427405
123.696114,233.651515,640,11071.742637
2815.991579,-5241.701456,8000,11224.074759
-5411.948026,-5858.703317,8000,11366.02032
-5744.126487,-6126.234423,8000,11519.398428
2905.122474,2795.597873,8000,11659.004294
2759.416446,2819.119617,8000,11808.598199
-5869.390742,-5345.95134,8000,11962.094766
-5351.082054,2874.338653,8000,12115.986457
2803.838807,2875.68746,8000,12268.916434
2853.748214,2849.30461,8000,12392.601481
2867.730097,2776.595107,8000,12546.157268
2793.177694,2895.378214,8000,12702.968315
2851.438322,2787.179816,8000,12859.328154
-4871.593348,-5514.398663,8000,12985.253
-5204.58467,-2495.278786,8000,13120.564493
-2794.301102,-4402.738343,8000,13277.214264
225.021289,245.665932,640,13281.691048
-2030.628076,-3917.086837,5009,13323.534361
-1977.897634,-3713.170308,6111,13462.77206
1288.741844,-22.613772,8000,13604.570193
327.346913,-1153.775367,4008,13719.516743
-1021.542654,-4405.085565,3653,13748.752042
-5106.65962,-5588.762046,8000,13908.066712
-4807.103686,-1073.949724,8000,14065.028766
-6251.023028,2666.775077,8000,14219.984203
-5171.90336,-5672.928223,8000,14375.540648
2438.883937,-5490.59878,8000,14530.472683
84.26954,200.870703,569,14534.56754
-2293.049452,-3734.630105,3572,14640.620684
2716.277384,2677.854617,8000,14795.368303
-5196.918715,-11365.472314,8000,14939.471165
-4548.857232,-12021.626121,8000,15089.159278
2722.432576,-5216.986101,8000,15243.861949
2742.59494,2707.136985,8000,15395.107783
-3023.814468,-2673.776314,4121,15429.159639
-1395.08658,-12214.122332,8000,15583.753844
-27.259906,-387.997954,3132,15690.017269
2537.939063,-1055.077416,8000,15844.141962
567.075834,2622.765833,8000,15994.635293
-450.394625,-5235.155307,8000,16150.07829
-5917.282782,-4507.407709,8000,16287.563618
2613.231824,2779.763983,8000,16426.876909
-6038.979196,2618.233076,8000,16580.997378
2574.551767,-6028.309209,8000,16724.81167
2560.94226,2738.141776,8000,16873.024696
2740.049303,2772.928978,8000,17018.383288
2668.407603,-5159.864992,8000,17172.941884
2520.104651,-5876.117124,8000,17278.004585
2713.373634,2613.720403,8000,17418.32882
-5370.612737,-5196.815049,8000,17558.385151
-5886.848557,2396.986834,8000,17713.908082
2659.093867,-4673.748852,8000,17865.623535
2563.145539,2769.121739,8000,18021.087639
-2142.762875,1968.563132,5739,18068.621896
-4888.26805,2713.965986,8000,18229.519167
-4866.483014,-4281.756478,8000,18370.669472
-2637.909847,-4335.954867,8000,18519.180747
-2890.399152,-5664.195622,8000,18659.454965
-2284.990907,1854.065121,5256,18792.413641
2742.964832,-5776.839782,8000,18932.591887
-5968.652992,-8875.273475,8000,19087.68119
2736.263827,-11344.010838,8000,19243.37038
-5407.063639,-5092.875116,8000,19378.76715
-5732.705325,2800.382459,8000,19534.403096
-6111.915451,2757.561252,8000,19676.273573
-4752.599333,2521.247485,8000,19833.093558
-5771.977118,2705.241745,8000,19955.75141
1403.893299,-11279.048554,8000,20095.881769
-160.992077,413.151928,1127,20103.484505
-497.054573,-12928.237785,7947,20255.158339
-3905.915879,-3560.853265,8000,20399.126169
1387.476814,2610.021293,8000,20553.024407
2486.426259,2622.561819,8000,20703.925368
2591.084784,2750.106195,8000,20857.777818
2590.065225,2411.054565,8000,21009.225132
2737.146647,2602.149334,8000,21163.296705
2519.664138,-6299.533213,8000,21309.519103
2230.289537,-9443.828808,8000,21451.395444
-5837.913832,-10640.013732,8000,21590.503462
-1705.326969,-6406.538084,8000,21712.657044
-6403.384567,-13892.184123,8000,21841.562742
2491.749342,2635.692959,8000,21998.891814
-54.504173,2343.32154,8000,22155.523928
978.019814,-9467.764741,8000,22303.974056
1909.843782,2508.13305,8000,22434.174914
2448.106977,-3077.933194,8000,22584.783046
-6263.411534,-4729.444239,8000,22728.495011
